,home,away,home_points,away_points
0,New Orleans Pelicans,Orlando Magic,101,84
1,San Antonio Spurs,Dallas Mavericks,101,100
2,Houston Rockets,Los Angeles Lakers,108,90
3,Charlotte Hornets,Milwaukee Bucks,108,106
4,Indiana Pacers,Philadelphia 76ers,103,91
5,Boston Celtics,Brooklyn Nets,121,105
6,Miami Heat,Washington Wizards,107,95
7,Toronto Raptors,Atlanta Hawks,109,102
8,Memphis Grizzlies,Minnesota Timberwolves,105,101
9,Chicago Bulls,New York Knicks,104,80
10,Denver Nuggets,Detroit Pistons,89,79
11,Houston Rockets,Utah Jazz,104,93
12,Phoenix Suns,Los Angeles Lakers,119,99
13,Golden State Warriors,Sacramento Kings,95,77
14,Portland Trail Blazers,Oklahoma City Thunder,106,89
15,Washington Wizards,Orlando Magic,105,98
16,Minnesota Timberwolves,Detroit Pistons,97,91
17,New York Knicks,Cleveland Cavaliers,95,90
18,Dallas Mavericks,Utah Jazz,120,102
19,Los Angeles Clippers,Oklahoma City Thunder,93,90
20,Memphis Grizzlies,Indiana Pacers,97,89
21,Cleveland Cavaliers,Chicago Bulls,114,108
22,Milwaukee Bucks,Philadelphia 76ers,93,81
23,Phoenix Suns,San Antonio Spurs,94,89
24,Sacramento Kings,Portland Trail Blazers,103,94
25,Los Angeles Clippers,Los Angeles Lakers,118,111
26,Dallas Mavericks,New Orleans Pelicans,109,104
27,Memphis Grizzlies,Charlotte Hornets,71,69
28,Toronto Raptors,Orlando Magic,108,95
29,Miami Heat,Philadelphia 76ers,114,96
30,Washington Wizards,Milwaukee Bucks,108,97
31,Atlanta Hawks,Indiana Pacers,102,92
32,Brooklyn Nets,Detroit Pistons,102,90
33,Houston Rockets,Boston Celtics,104,90
34,Chicago Bulls,Minnesota Timberwolves,106,105
35,Oklahoma City Thunder,Denver Nuggets,102,91
36,Utah Jazz,Phoenix Suns,118,91
37,Golden State Warriors,Los Angeles Lakers,127,104
38,Sacramento Kings,Los Angeles Clippers,98,92
39,Miami Heat,Toronto Raptors,107,102
40,New York Knicks,Charlotte Hornets,96,93
41,Golden State Warriors,Portland Trail Blazers,95,90
42,Houston Rockets,Philadelphia 76ers,104,93
43,Brooklyn Nets,Oklahoma City Thunder,116,85
44,Memphis Grizzlies,New Orleans Pelicans,93,81
45,Dallas Mavericks,Boston Celtics,118,113
